,Water,Energy,Protein,Carbohydrates,Sodium,Sugar
3063,0.7320000000000001,0.12195121951219512,0.003396739130434783,0.18600000000000003,0.02961969141854585,0.16352705410821644
3064,0.0219,0.42904656319290463,0.07857789855072465,0.8277,0.01720935032767429,0.4099198396793587
3065,0.7528,0.1607538802660754,0.011662137681159422,0.0384,0.04014655038959699,0.005410821643286573
3066,0.061,0.5033259423503326,0.09057971014492755,0.636,0.006553485731977914,
3067,0.0206,0.5532150776053215,0.0354393115942029,0.7188,0.005469838484957945,0.44028056112224445
3068,0.5938,0.22727272727272727,0.3803215579710146,0.0,0.0014706641209556736,0.0
3069,0.7395,0.1352549889135255,0.2640398550724638,0.0,0.0012126528716652047,0.0
3070,0.6068,0.20288248337028825,0.3755661231884059,0.0,0.0019866866195366118,0.0
3071,0.3747,0.28713968957871394,0.00011322463768115944,0.469,0.015119459208421488,0.03406813627254509
3072,0.875,0.0565410199556541,0.002264492753623189,0.121,0.00015480674957428145,0.10851703406813627
3073,0.6455,0.23170731707317074,0.12930253623188406,0.0468,0.027633004799009236,0.029058116232464928
3074,0.2263,0.311529933481153,0.1342844202898551,0.5142,0.001109448371949017,
3075,0.057999999999999996,0.47671840354767187,0.06340579710144928,0.738,0.01184271634243253,0.17635270541082165
3076,0.7284999999999999,0.12305986696230599,0.22010869565217397,0.0103,0.028329635172093505,0.01032064128256513
3077,0.4703,0.3137472283813747,0.1219429347826087,0.22039999999999998,0.016822333453738583,0.07915831663326653
3078,0.5884,0.24833702882483372,0.2676630434782609,0.0364,0.018292997574694256,0.0
3079,0.28300000000000003,0.3436807095343681,0.0904664855072464,0.551,0.018241395324836162,0.09549098196392784
3080,0.8250000000000001,0.06319290465631928,0.01992753623188406,0.1441,5.1602249858093815e-05,0.028356713426853707
3081,0.02,0.4312638580931264,0.07472826086956523,0.885,5.1602249858093815e-05,0.013527054108216433
3082,0.0509,0.4190687361419069,0.0,0.9445,0.0,0.0
3083,0.6173,0.2738359201773836,0.22203351449275366,0.0,0.0013416584963104393,0.0
3084,0.0805,0.42017738359201773,0.15692934782608697,0.7012,0.017544764951751897,0.09629258517034067
3085,0.1137,0.4079822616407982,0.07608695652173914,0.7991,5.1602249858093815e-05,0.005511022044088177
3086,0.10400000000000001,0.4057649667405765,0.120018115942029,0.755,0.014732442334485785,0.004008016032064128
3087,0.6528,0.19401330376940132,0.32484148550724645,0.0,0.00216729449403994,0.0
3088,0.6593000000000001,0.18070953436807094,0.31702898550724645,0.0,0.0009546416223747356,0.0
3089,0.025400000000000002,0.5388026607538803,0.09873188405797104,0.6741,0.004489395737654162,0.6280561122244489
3090,0.47659999999999997,0.22283813747228381,0.07359601449275363,0.39,0.014422828835337222,0.03907815631262525
3091,0.64,0.1762749445676275,0.2173913043478261,0.068,0.017286753702461428,0.01002004008016032
3092,0.4718,0.39800443458980045,0.2522644927536232,0.0,0.0016254708705299551,
3093,0.7305,0.1286031042128603,0.15930706521739132,0.0422,0.03379947365705145,0.04228456913827655
3094,0.35619999999999996,0.32261640798226165,0.06567028985507248,0.44799999999999995,0.013648795087465814,0.1312625250501002
3095,0.6950000000000001,0.2039911308203991,0.15172101449275366,0.011000000000000001,0.006888900356055524,0.008016032064128256
3096,0.7243,0.1674057649667406,0.22463768115942032,0.0,0.0020898911192527994,0.0
3097,0.6151,0.22505543237250555,0.32529438405797106,0.0,0.0013674596212394862,0.0
3098,0.0086,0.5875831485587583,0.044610507246376815,0.6339,0.006321275607616492,0.6014028056112225
3099,0.6476000000000001,0.21618625277161863,0.26675724637681164,0.0001,0.0017286753702461428,0.0
3100,0.8706,0.05543237250554324,0.00407608695652174,0.1218,7.740337478714073e-05,0.1
3101,0.0212,0.28713968957871394,0.14877717391304351,0.7424,0.006656690231694102,0.15721442885771542
3102,0.331,0.29490022172949004,0.0985054347826087,0.511,0.013442386088033439,0.08476953907815632
3103,0.6805,0.1607538802660754,0.05129076086956523,0.2278,0.0013674596212394862,0.2319639278557114
3104,0.7134999999999999,0.1607538802660754,0.21535326086956524,0.0076,0.009236802724598793,0.0008016032064128256
3105,0.02,0.5388026607538803,0.062273550724637694,0.662,0.02345322256050364,0.08917835671342686
3106,0.6213000000000001,0.21729490022172948,0.3091032608695653,0.0,0.0018576809948913774,0.0
3107,0.1267,0.3991130820399113,0.14356884057971017,0.7283,2.5801124929046907e-05,
3108,0.5924,0.21729490022172948,0.3512228260869566,0.0047,0.005985860983538882,0.004609218436873747
3109,0.693,0.19068736141906872,0.2173913043478261,0.0009,0.001960885494607565,0.0
3110,0.6551,0.1973392461197339,0.3165760869565218,0.0,0.0015222663708137675,0.0
3111,0.6,0.21175166297117518,0.13043478260869568,0.1952,0.014706641209556738,0.0219438877755511
3112,0.8215000000000001,0.07760532150776053,0.0251358695652174,0.14220000000000002,0.007017905980700759,0.04008016032064128
3113,0.506,0.29379157427937913,0.22644927536231887,0.013700000000000002,0.03944992001651272,0.0
3114,0.027000000000000003,0.5421286031042128,0.08831521739130437,0.626,0.025233500180607875,0.1432865731462926
3115,0.7755,0.10753880266075388,0.21908967391304351,0.0,0.027658805923938285,
3116,0.7708,0.08647450110864745,0.05083786231884059,0.16140000000000002,0.006553485731977914,
3117,0.735,0.12638580931263857,0.03057065217391305,0.197,0.007379121729707416,0.18066132264529058
3118,0.9523999999999999,0.015521064301552107,0.016983695652173916,0.024100000000000003,0.006321275607616492,
3119,0.7204,0.1164079822616408,0.027626811594202903,0.24239999999999998,0.00020640899943237526,
