,VitaminC
903,0.0
904,
905,19.2
906,0.0
907,0.0
908,0.0
909,60.0
910,0.0
911,0.2
912,6.0
913,31.1
914,0.0
915,19.3
916,28.5
917,0.0
918,0.0
919,2.0
920,0.0
921,33.0
922,1.7
923,0.0
924,3.1
925,0.0
926,
927,0.0
928,7.4
929,0.7
930,0.0
931,0.1
932,0.4
933,3.3
934,3.0
935,0.0
936,1.1
937,5.7
938,
939,
940,0.0
941,180.0
942,0.0
943,29.0
944,0.0
945,80.9
946,6.8
947,0.0
948,26.4
949,0.0
950,0.0
951,13.2
952,30.0
953,1.1
954,0.0
955,0.1
956,5.2
957,0.0
958,
959,0.0
960,1.9
961,5.6
962,4.4
963,0.0
964,
965,1.9
966,0.0
967,0.0
968,0.5
969,0.1
970,48.5
971,0.0
972,2.3
973,0.0
974,0.0
975,14.5
976,0.8
977,0.0
978,0.0
979,6.2
980,0.1
981,0.0
982,0.0
983,3.1
984,18.2
985,0.9
986,
987,0.0
988,1.0
989,
990,3.6
991,
992,0.0
993,24.7
994,0.0
995,0.0
996,1.0
997,0.0
998,1.7
999,0.0
1000,0.2
1001,0.0
1002,0.0
1003,3.2
1004,0.0
1005,0.0
1006,0.1
1007,0.0
1008,0.0
1009,
1010,0.1
1011,
1012,0.0
1013,5.9
1014,37.0
1015,0.0
1016,
1017,
1018,0.0
1019,1.0
1020,1.2
1021,0.1
1022,29.0
1023,0.0
1024,1.3
1025,1.6
1026,0.0
1027,0.0
1028,0.0
1029,4.0
1030,0.0
1031,0.1
1032,
1033,13.2
1034,5.1
1035,
1036,0.0
1037,0.0
1038,3.5
1039,
1040,31.3
1041,
1042,3.0
1043,0.0
1044,0.6
1045,0.0
1046,0.0
1047,0.0
1048,5.3
1049,57.9
1050,61.1
1051,1.7
1052,1.2
1053,0.0
1054,0.0
1055,
1056,0.0
1057,0.0
1058,7.9
1059,200.0
1060,0.0
1061,
1062,0.0
1063,0.0
1064,0.3
1065,0.0
1066,2.2
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,
1072,0.0
1073,
1074,3.1
1075,0.0
1076,0.0
1077,15.1
1078,2.6
1079,0.0
1080,0.0
1081,4.8
1082,
1083,5.3
1084,
1085,82.0
1086,
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,5.9
1093,0.0
1094,0.0
1095,0.0
1096,0.4
1097,
1098,1.0
1099,0.0
1100,0.0
1101,2.2
1102,1.8
1103,8.7
1104,10.0
1105,0.0
1106,0.0
1107,19.4
1108,0.0
1109,1.8
1110,
1111,0.0
1112,0.0
1113,0.0
1114,43.3
1115,14.1
1116,0.0
1117,0.0
1118,0.0
1119,0.0
1120,0.0
1121,0.0
1122,0.0
1123,
1124,0.0
1125,0.0
1126,12.8
1127,0.0
1128,15.0
1129,0.8
1130,
1131,30.0
1132,0.0
1133,0.0
1134,0.7
1135,0.0
1136,2.1
1137,1.1
1138,0.0
1139,1.3
1140,0.0
1141,0.0
1142,0.1
1143,0.9
1144,0.5
1145,0.2
1146,4.4
1147,0.0
1148,0.0
1149,0.6
1150,68.0
1151,1.7
1152,0.0
1153,0.0
1154,38.7
1155,15.3
1156,0.0
1157,0.0
1158,3.3
1159,23.9
1160,19.4
1161,5.0
1162,0.0
1163,0.0
1164,0.0
